Raw,Left 50,No %,,Address,Percent,Amount, ,ID,Amount,Cumulative %,Pareto,all,$10 or more,$50 or more,$100 or more
0x2972a2Cd1E944a8Fa33cE3CB6beD2a55Db06b2b6244.77326471132671994 MobLP 0.0871%,0x2972a2Cd1E944a8Fa33cE3CB6beD2a55Db06b2b6244.7732,0x2972a2Cd1E944a8Fa33cE3CB6beD2a55Db06b2b6244.77326471132671994 MobLP 0.0871, ,0x2972a2Cd1E944a8Fa33cE3CB6beD2a55Db06b2b6, 0.0871,244.7732, ,48,244.7732,93.64,80,6.88%,15.29%,28.40%,39.34%
0x5d89E69475242bA8EE13BB14c9C23D852aE91173243.812783490914552448 MobLP 0.0867%,0x5d89E69475242bA8EE13BB14c9C23D852aE91173243.8127,0x5d89E69475242bA8EE13BB14c9C23D852aE91173243.812783490914552448 MobLP 0.0867, ,0x5d89E69475242bA8EE13BB14c9C23D852aE91173, 0.0867,243.8127, ,49,243.8127,93.72,80,7.02%,15.61%,28.99%,40.16%
0xa191217779B628C4Ba879BEe7cdcB4a8E0B98d25229.818405096310400108 MobLP 0.0818%,0xa191217779B628C4Ba879BEe7cdcB4a8E0B98d25229.8184,0xa191217779B628C4Ba879BEe7cdcB4a8E0B98d25229.818405096310400108 MobLP 0.0818, ,0xa191217779B628C4Ba879BEe7cdcB4a8E0B98d25, 0.0818,229.8184, ,50,229.8184,93.80,80,7.16%,15.92%,29.59%,40.98%
0xf3CD044D9b780C540B02c9E92d61687ABEb18F5c205.239768089618612736 MobLP 0.0730%,0xf3CD044D9b780C540B02c9E92d61687ABEb18F5c205.2397,0xf3CD044D9b780C540B02c9E92d61687ABEb18F5c205.239768089618612736 MobLP 0.0730, ,0xf3CD044D9b780C540B02c9E92d61687ABEb18F5c, 0.0730,205.2397, ,51,205.2397,93.88,,7.31%,16.24%,30.18%,41.80%
0xDd6f3475188364B88187FBf233AF89116C25FC3b205.187451471195202997 MobLP 0.0730%,0xDd6f3475188364B88187FBf233AF89116C25FC3b205.1874,0xDd6f3475188364B88187FBf233AF89116C25FC3b205.187451471195202997 MobLP 0.0730, ,0xDd6f3475188364B88187FBf233AF89116C25FC3b, 0.0730,205.1874, ,52,205.1874,93.95,,7.45%,16.56%,30.77%,42.62%
0x468A08Ca691cB6Ec4Bf2bC6963D2f056D61ABdcd203.783890482196429068 MobLP 0.0725%,0x468A08Ca691cB6Ec4Bf2bC6963D2f056D61ABdcd203.7838,0x468A08Ca691cB6Ec4Bf2bC6963D2f056D61ABdcd203.783890482196429068 MobLP 0.0725, ,0x468A08Ca691cB6Ec4Bf2bC6963D2f056D61ABdcd, 0.0725,203.7838, ,53,203.7838,94.02,,7.59%,16.88%,31.36%,43.44%
0x91878ec5288E944fD4A357022d60DbE9Ab49c46f203.193975938581681375 MobLP 0.0723%,0x91878ec5288E944fD4A357022d60DbE9Ab49c46f203.1939,0x91878ec5288E944fD4A357022d60DbE9Ab49c46f203.193975938581681375 MobLP 0.0723, ,0x91878ec5288E944fD4A357022d60DbE9Ab49c46f, 0.0723,203.1939, ,54,203.1939,94.09,,7.74%,17.20%,31.95%,44.26%
0xbb31Fd98090909a080473cbE30A573B1C1C10a5F203.180539504043972951 MobLP 0.0723%,0xbb31Fd98090909a080473cbE30A573B1C1C10a5F203.1805,0xbb31Fd98090909a080473cbE30A573B1C1C10a5F203.180539504043972951 MobLP 0.0723, ,0xbb31Fd98090909a080473cbE30A573B1C1C10a5F, 0.0723,203.1805, ,55,203.1805,94.17,,7.88%,17.52%,32.54%,45.08%
0xb492e948f33b85295aCB990412311726503Db854202.744552845456181308 MobLP 0.0721%,0xb492e948f33b85295aCB990412311726503Db854202.7445,0xb492e948f33b85295aCB990412311726503Db854202.744552845456181308 MobLP 0.0721, ,0xb492e948f33b85295aCB990412311726503Db854, 0.0721,202.7445, ,56,202.7445,94.24,,8.02%,17.83%,33.14%,45.90%
0x2d573d1f2578dB030ff77647cFe8FAAfcD04A35e200.489974018352857852 MobLP 0.0713%,0x2d573d1f2578dB030ff77647cFe8FAAfcD04A35e200.4899,0x2d573d1f2578dB030ff77647cFe8FAAfcD04A35e200.489974018352857852 MobLP 0.0713, ,0x2d573d1f2578dB030ff77647cFe8FAAfcD04A35e, 0.0713,200.4899, ,57,200.4899,94.31,,8.17%,18.15%,33.73%,46.72%
0x262944448Ec574dd5f82136964BbF189CC1AB579200.460889895175445356 MobLP 0.0713%,0x262944448Ec574dd5f82136964BbF189CC1AB579200.4608,0x262944448Ec574dd5f82136964BbF189CC1AB579200.460889895175445356 MobLP 0.0713, ,0x262944448Ec574dd5f82136964BbF189CC1AB579, 0.0713,200.4608, ,58,200.4608,94.38,,8.31%,18.47%,34.32%,47.54%
0x8eB8Eba573c83Af43D40bCE227E0443CF22814d4199.869043603473945731 MobLP 0.0711%,0x8eB8Eba573c83Af43D40bCE227E0443CF22814d4199.8690,0x8eB8Eba573c83Af43D40bCE227E0443CF22814d4199.869043603473945731 MobLP 0.0711, ,0x8eB8Eba573c83Af43D40bCE227E0443CF22814d4, 0.0711,199.8690, ,59,199.869,94.45,,8.45%,18.79%,34.91%,48.36%
0x5c599AD07d5b2d89E0f2c1ae4A1fF564BD079fe4199.855537914467870546 MobLP 0.0711%,0x5c599AD07d5b2d89E0f2c1ae4A1fF564BD079fe4199.8555,0x5c599AD07d5b2d89E0f2c1ae4A1fF564BD079fe4199.855537914467870546 MobLP 0.0711, ,0x5c599AD07d5b2d89E0f2c1ae4A1fF564BD079fe4, 0.0711,199.8555, ,60,199.8555,94.52,,8.60%,19.11%,35.50%,49.18%
0x71db2249e1c37523f437bd7BaD443f13F195A716199.703560439017405635 MobLP 0.0711%,0x71db2249e1c37523f437bd7BaD443f13F195A716199.7035,0x71db2249e1c37523f437bd7BaD443f13F195A716199.703560439017405635 MobLP 0.0711, ,0x71db2249e1c37523f437bd7BaD443f13F195A716, 0.0711,199.7035, ,61,199.7035,94.59,,8.74%,19.43%,36.09%,50.00%
0x8248C519d47EB810649F683862508dfCaf16768C199.209359343487254539 MobLP 0.0709%,0x8248C519d47EB810649F683862508dfCaf16768C199.2093,0x8248C519d47EB810649F683862508dfCaf16768C199.209359343487254539 MobLP 0.0709, ,0x8248C519d47EB810649F683862508dfCaf16768C, 0.0709,199.2093, ,62,199.2093,94.67,,8.88%,19.75%,36.69%,50.82%
0xe95E6dd47590955a012C5A491D9146871ad2F07B199.137032107828708908 MobLP 0.0709%,0xe95E6dd47590955a012C5A491D9146871ad2F07B199.1370,0xe95E6dd47590955a012C5A491D9146871ad2F07B199.137032107828708908 MobLP 0.0709, ,0xe95E6dd47590955a012C5A491D9146871ad2F07B, 0.0709,199.1370, ,63,199.137,94.74,,9.03%,20.06%,37.28%,51.64%
0x5aC8B0A3C3cd5920e8109689e53999833972828F197.782666022866906755 MobLP 0.0704%,0x5aC8B0A3C3cd5920e8109689e53999833972828F197.7826,0x5aC8B0A3C3cd5920e8109689e53999833972828F197.782666022866906755 MobLP 0.0704, ,0x5aC8B0A3C3cd5920e8109689e53999833972828F, 0.0704,197.7826, ,64,197.7826,94.81,,9.17%,20.38%,37.87%,52.46%
0xbEaF2c9d83a6ED71Dd137A158301C19F22F89379193.841478111748543345 MobLP 0.0690%,0xbEaF2c9d83a6ED71Dd137A158301C19F22F89379193.8414,0xbEaF2c9d83a6ED71Dd137A158301C19F22F89379193.841478111748543345 MobLP 0.0690, ,0xbEaF2c9d83a6ED71Dd137A158301C19F22F89379, 0.0690,193.8414, ,65,193.8414,94.88,,9.31%,20.70%,38.46%,53.28%
